timestamp,DL_bitrate
465.0,19837
466.0,25326
467.0,2824
468.0,2824
468.0,1624
469.0,7486
470.0,6119
471.0,6119
471.0,8999
473.0,9623
474.0,7407
475.0,9244
476.0,7067
477.0,9728
478.0,9728
478.0,10967
479.0,10481
480.0,7503
481.0,1
482.0,1
482.0,5954
484.0,9889
485.0,11367
486.0,9838
486.0,9838
487.0,10434
488.0,8976
489.0,10306
490.0,7662
491.0,7174
492.0,9004
493.0,9857
495.0,2184
496.0,2184
496.0,3
497.0,8260
498.0,9527
499.0,10338
500.0,10338
500.0,5275
501.0,301
502.0,1196
503.0,5260
505.0,9276
506.0,8601
507.0,4283
508.0,8504
509.0,0
509.0,0
510.0,726
511.0,7334
512.0,8814
513.0,10355
515.0,9957
516.0,4341
517.0,9577
518.0,7849
519.0,8525
520.0,9722
522.0,2387
523.0,2
523.0,2
525.0,5583
525.0,5583
526.0,8413
527.0,8582
528.0,9662
529.0,9074
530.0,7394
531.0,8802
532.0,6333
533.0,10365
534.0,17610
536.0,15323
536.0,15323
537.0,0
537.0,0
538.0,4626
539.0,8723
540.0,10198
541.0,9808
542.0,7269
543.0,10065
544.0,10572
545.0,10572
545.0,10703
547.0,10473
548.0,12038
550.0,4595
551.0,2
551.0,2
552.0,7078
553.0,11821
554.0,12112
555.0,12732
556.0,12732
556.0,10245
558.0,11541
559.0,11935
560.0,11696
561.0,12334
562.0,19349
564.0,232
565.0,232
565.0,1436
566.0,11334
568.0,11954
569.0,12272
570.0,11287
571.0,11628
572.0,11646
573.0,11688
574.0,10887
575.0,11396
576.0,12155
578.0,6591
579.0,2
579.0,2
580.0,6167
581.0,11620
582.0,10904
583.0,12672
584.0,10461
585.0,9071
587.0,9129
588.0,11348
589.0,12632
590.0,9749
592.0,603
593.0,603
593.0,1452
594.0,12254
595.0,11624
596.0,12595
598.0,12205
599.0,11967
600.0,12614
601.0,10330
602.0,9421
603.0,12109
604.0,12313
605.0,8391
606.0,1
607.0,1
607.0,4992
609.0,12673
610.0,15562
611.0,16694
612.0,17336
613.0,14414
614.0,17696
615.0,20544
616.0,19824
617.0,14841
618.0,8989
619.0,8989
620.0,3197
620.0,3197
621.0,4
622.0,1661
623.0,5004
624.0,6234
625.0,9938
626.0,9523
627.0,12268
628.0,3161
629.0,3161
629.0,8325
631.0,11088
632.0,11201
633.0,11201
633.0,6260
634.0,0
634.0,0
635.0,1617
636.0,11340
637.0,10922
638.0,10922
638.0,13149
639.0,16344
640.0,20171
642.0,14464
643.0,15004
644.0,13401
645.0,15590
647.0,7852
648.0,1
648.0,1
649.0,6577
650.0,13223
651.0,16848
653.0,5429
654.0,5086
654.0,5086
655.0,9125
656.0,12202
657.0,16428
658.0,14822
659.0,17290
661.0,1460
662.0,1460
662.0,1460
662.0,115
664.0,7579
665.0,9956
666.0,12123
667.0,13122
668.0,12529
669.0,11814
670.0,11814
670.0,10846
671.0,12095
672.0,24174
673.0,22267
675.0,23766
676.0,0
676.0,0
677.0,3547
678.0,10535
680.0,9003
681.0,8974
682.0,9650
683.0,6117
684.0,9266
686.0,10309
687.0,7850
688.0,11343
689.0,7699
690.0,2
690.0,2
691.0,6976
692.0,8341
693.0,3380
694.0,9602
696.0,8980
697.0,8331
697.0,8331
698.0,11913
699.0,9211
700.0,6542
701.0,8613
702.0,9418
702.0,9418
703.0,0
704.0,0
704.0,1348
706.0,10105
706.0,10105
707.0,10139
708.0,10757
709.0,9691
710.0,10472
711.0,10845
712.0,11441
713.0,6324
714.0,6562
715.0,6562
715.0,8852
717.0,6020
718.0,1
718.0,1
719.0,1634
720.0,1818
721.0,7637
722.0,37337
723.0,45939
724.0,45939
725.0,45351
726.0,44041
727.0,46567
728.0,32108
729.0,40149
730.0,37869
731.0,0
732.0,0
733.0,9220
734.0,19310
735.0,19356
736.0,13494
737.0,13494
737.0,18093
738.0,18848
739.0,16695
740.0,16887
742.0,15121
743.0,44524
745.0,3871
746.0,3871
746.0,2908
747.0,161052
748.0,353338
749.0,366042
750.0,378867
751.0,397527
752.0,397527
753.0,389750
754.0,424651
755.0,406774
756.0,371278
757.0,349717
758.0,378345
759.0,0
760.0,0
760.0,11354
761.0,32531
762.0,39176
763.0,319279
765.0,401381
766.0,532905
767.0,411490
767.0,411490
768.0,450214
769.0,483139
770.0,419382
771.0,419980
772.0,215798
773.0,2
773.0,2
774.0,10755
775.0,9114
777.0,15933
778.0,19899
779.0,20364
781.0,21215
782.0,20449
783.0,21782
784.0,21997
786.0,21673
787.0,0
787.0,0
788.0,7707
789.0,20044
790.0,21195
791.0,19999
792.0,22334
794.0,21922
795.0,21765
796.0,22146
797.0,21371
798.0,18756
800.0,263
801.0,263
802.0,1125
803.0,28761
804.0,28276
805.0,34491
806.0,32941
807.0,32941
807.0,31650
808.0,33995
809.0,32916
811.0,22169
812.0,18131
813.0,31603
814.0,19145
814.0,19145
815.0,2
815.0,2
816.0,11806
817.0,6647
818.0,10166
819.0,8539
821.0,7980
822.0,11067
823.0,11496
824.0,16953
825.0,31768
826.0,25956
827.0,26101
828.0,0
829.0,0
829.0,1485
831.0,11333
832.0,16313
833.0,44759
834.0,55717
835.0,56143
836.0,44356
837.0,29571
838.0,25199
839.0,26890
840.0,41256
842.0,31348
842.0,31348
843.0,1
843.0,1
844.0,4992
845.0,6811
846.0,10827
847.0,9501
848.0,17758
849.0,38235
850.0,30052
852.0,27118
853.0,19184
854.0,28714
856.0,6841
856.0,6841
857.0,6841
857.0,4
858.0,9365
859.0,9905
860.0,10205
861.0,10303
863.0,11006
864.0,10240
865.0,8055
866.0,7673
867.0,9528
868.0,6976
869.0,3770
870.0,0
871.0,0
871.0,10575
873.0,9593
874.0,9635
875.0,19611
876.0,13857
877.0,17935
878.0,30485
879.0,30485
879.0,45477
880.0,28480
881.0,25467
882.0,25938
884.0,10304
885.0,10304
885.0,3
886.0,9890
887.0,11970
888.0,10800
889.0,10800
889.0,12163
890.0,10603
891.0,25678
892.0,19512
894.0,2368
895.0,767
896.0,9668
897.0,19073
898.0,0
898.0,0
899.0,3084
900.0,10728
901.0,11122
902.0,11920
903.0,11813
905.0,11937
906.0,11373
907.0,11415
908.0,11998
909.0,25438
911.0,14212
912.0,2
912.0,2
913.0,8283
915.0,12522
916.0,11953
917.0,12102
918.0,10169
919.0,7989
919.0,7989
920.0,12628
921.0,10760
922.0,12339
923.0,12767
925.0,10392
926.0,0
926.0,0
